Processed_Text,Emotion
feel clever nov,happy
always spend money mean feel dissatisfied exit store,anger
feeling really quite angry,anger
feel kerry supporting civil union gay equality,love
feel really ashamed,sadness
feel amazing people life,surprise
finally left feeling judged ridiculed intelligent,happy
starting feel bit insulted stranger,anger
many day feel hopeless today light end yellow brick road shining little brighter,sadness
see woman wearing boot feel envious want curse,anger
feel feel tell together apologize make keep loving bit bit,love
go say feeling impressed naomi klein right,surprise
began feel sens dull cold black unconsciousness came,sadness
suspect feel le fond private,love
wonder cast caveman told perfect part feel insulted complimented,anger
feel empty baby,sadness
feeling font friendly,happy
hand bead consciously breathing consciously working feel calm list thing accomplish afternoon,happy
always feel intimidated people especially always compare people ever since young,fear
started feeling hostile checking hemorrhoid,anger
know largely fact feeling romantic sexual successfully hidden,love
feeling far mellow normal,happy
became dismayed studied people wearing started feeling like though outfit gorgeous bought way,happy
want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid feeling brave,happy
feeling lucky width li style border px list style outside margin px px,happy
recall high school feeling longing watched olympic runner feel st,love
say strong feeling always make skeptical first,fear
want talk limited time phone current arrangment feel hesitant bring,fear
feel like little control help sweet pea better know ahead,happy
feel like receiving end violent attack,anger
feel worthwhile document people familiar batch file,happy
feeling especially thankful many small blessing life right,happy
hoping weatherman right forecast stay home venture rain tomorrow feeling kind creative,happy
feel like edge microcosm one awkward moment missed party id outside,sadness
feel bit funny actually,surprise
learnt nothing else last two year best feel way trusting instinct,happy
always want nemo side sleeping without feel weird even though happen often get,surprise
feel confused,fear
feel session useful gave tool need move forward life,happy
feel selfish bringing loneliness child know parent newtown grieving lost baby,anger
took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,love
feel envious embarrassed,anger
could feel frantic need need make,fear
feeling overwhelmed responsibility teacher someone trusting precious gift honor,surprise
feel tranquil right great,happy
feel frustrated new music new lyric clearly nothing,anger
thought going talk try work thing shocked find steve decided wanted thing broke feeling unloved,sadness
would beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,sadness
tend stop breathing feeling stressed,sadness
smoker year quit week ago right finished book can not believe free feel knew quit terrified life without cigarette,fear
go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thought feeling sensation emerge important,happy
already feeling frantic,fear
feel like insecurity good thing first started writing pictured,happy
feel complimented insulted,anger
crave fall submission feel submissive least,sadness
feel tender fine,love
feel irritated pissed even like someone wake moment edge falling deep slumber,anger
made work feeling little groggy,sadness
want love feel like sort hindrance keeping loving,love
feel fond ok second thought really sensitive spelled everything,love
ill get round quarter feeling hopeful one,happy
starting feel unwelcome life people already tell,sadness
feel bitter honkerblonked general,anger
feeling father already convinced,happy
love feel passionate living dream gotten taste feel like nothing stop,love
play rain squeal glee feeling mud squishing toe enjoy pretty much anything take place outdoors,happy
feeling humorous put cold caller hold,happy
busy stuff never blog thread make feel miserable,sadness
feel energized curious life god potential give something back society finding someone heart,surprise
feel privileged also lot work,happy
pretty happy little nauseated side feel thrilled,happy
close eye hear pitiful wailing sound cry taste salty taste tear feel anger hurt saturating heart,sadness
bought virtually fat free thousand island feeling impressed hold large quantity substance leaf lettuce cucumber friend total sugar becomes burn fat,surprise
sure folk virginia florida handful swing state agree feel put upon insulted constant barrage,anger
feel like putting innocent man death row,happy
begin feel every waking moment devoted work,love
feel longing sadness see family child,love
feel distinctly called clermont focus little one seem naughty,love
hope feel glad gave many thing including memory cherish,happy
feeling pretty worthless right,sadness
feel especially nervous finland landed paris little unsure would ahead u thought st grade student janne suominen,fear
feel envious kid certain moment,anger
feeling like pretty crappy mom,sadness
feeling pissed aac feeling kind miserable frustrated life whole week,anger
still feel vulnerable around,fear
honestly sure feel stunned,surprise
feel caring person attract caring people life,love
feel unwelcome place buti can not decide scared anything ok situation staying dead end situation afraid thing get worse,sadness
may may cried thanking making child feel special loved,happy
really want go buy yardage art gallery play feel amazing,surprise
feel like losing sense self adapt think loyal,love
feel burdened several loved one miss big kid seen since friday,sadness
feel still really low abdomen,sadness
feel like welcomed tight knit family make sure feel alone ever,happy
feel doubtful,fear
usually use smaller lego however year student fine motor delay want student feel successful,happy
get exercise feel like something worthwhile meantime,happy
feel like life rich fulfilling know people look way live feel misplaced pity,happy
feel blessed amazed yes excited,love
feel hesitant talking,fear
feeling beaten sick utterly devoid hope ever life want,sadness
feel hesitant comment want add pileon seems clear involved learned past experience interested applying learning future project,fear
feel quite passionate communion tremendous importance personally theologically,love
feeling happy well,happy
find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling city,sadness
feel like fake feeling lot often would liked,sadness
feeling energetic decided going bike rest temple,happy
really like said understand way feel toni ight blamed excess merican dream seldom witnessed never er seen hah hah hah hah hah,sadness
happpy get good result field academic athletics,happy
know want work always something make feel stressed anxious work whatever job may job require sort rule pressure,sadness
really hoping would get far enough ahead u could feel like navigating delighted punching second control headed onto trail wood,happy
feel like normally would angry actually think could never beautiful size,anger
wonder many people feel like perspective think sake without wanting turn result crappy work,sadness
feel indecisive whether feel book huckleberry finn censored,fear
known like kamiki kun laugh nozomi feel unpleasant knot stomach must think fool nonchan,sadness
made choice start recognizing feeling unloved kick choose keep persistence level allowing old reaction shut,sadness
feel like hated celebrated can not wait till day say made,anger
still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise
would rather feel nothing feel surprised find life depressing grey unrewarding,surprise
get really sweaty episode stomach feel really funny like free falling,surprise
feeling overwhelmed lately,fear
learnt much wonderful world beaubronz feel lovely tanning brand fit perfectly latest mantra stolen boudoir lash mother asma docrat,love
feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger
feel welcomed first entered morris quickly changed left feeling happy,happy
contemplating feeling skeptical,fear
feel like care bit heartless,anger
hate chemo thought toxin washing every single cell making feel horrible make cringe,sadness
love feel threatened around little,fear
feeling determined take long start nomming naughty stuff,happy
feel honored many wonderful artist display work public see,happy
feel dazed href http twitter,surprise
feel bitchy hurting,anger
always feel like assaulted pic,sadness
feel incredibly isolated lonely,sadness
feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger
blood test yesterday perhaps feeling particularly fond right doctor needle inside time spent dizzy head non meat eating nineteen year old female,love
admit worried feeling isolated work cubicle pretty much unless someone need,sadness
feeling like life fairly sweet,love
going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insult abuse,anger
feel like year teach get passionate job find love kid want try even harder,love
one people bury feeling anger second giving sweet smile even pain anger,love
knew holy spirit work plus feel divine gooooood way like massage reassuring,happy
feel though reached point career highly respected,happy
make light sometimes feel really awkward small group one one conversation,sadness
lot good day feel fabulous lot energy lately also bad day feel gigantic slow clumsy,happy
get wink sleep night continued feeling fabulous next morning,happy
feel like feel mistake time fucked sleep take,anger
found novel position feeling bit uncertain stock market rally,fear
feel like judging want seem like needy girl know,sadness
definitely feeling festive,happy
feel burdened presence,sadness
still feel little dazed sort disbelieving feeling oh god,surprise
turned page feel like way getting back irresponcible year carefree college,happy
favourite choice book dvd u uk feeling generous limit something like,love
feeling energetic alive happier long time,happy
feel really pathetic confronted,sadness
feel dangerous game activity,anger
feeling terribly burdened impending anxiety trying keep eye prize,sadness
feel could unpleasant layered love healing forgiveness expectation thing turn well,sadness
working amount would like feel like lifestyle change successful far,happy
love porn industry feel satisfied fulfilled working say really bring big buck,happy
overhear victory tune geek ringtone feel triumphant,happy
love child literature author feel need dumb thing kid,sadness
soo quiet mixture sleeping well feeling bit isolated big group,sadness
feel greedy money hungry absolutely,anger
feel fucked want shut,anger
feel passionate certain topic love backing position actual knowledge fact instead relying solely opinion,happy
feel like today way suffering exam day open book everytime went home,sadness
feel surprised make,surprise
woke morning hike feeling jubilant,happy
feel like little kid whose mom proud touched soccer ball game,happy
feel miserable inside outside like,sadness
must find way accept limitation older without feeling held back resentful,anger
feel wronged judge people make time however also found actually life need responsible action people around u,anger
know feeling stem part accepted mainstream importantly community seek belongingness,happy
really like special edition really feel special song,happy
feel must blog constantly loyal fan baker thia sandwich scruncher course mini rex,love
currently feeling way fucked mother tongue paper,anger
feel innocent love,happy
feel really lucky found resource always felt answer needed asking,happy
keep running hill fitness wise feel fine along foot calf starting hurt also begin tire,happy
always sensitive every sense feel like assaulted drag away darkness,fear
supposed ought feel thankful adding sarcastic edge age,happy
could help feel totally distraught utterly helpless lorena kidnapped tortured almost death band enemy desperate freedom,fear
feel unfortunate mister magnum sound cheer travelling well long period race,sadness
feel tortured tragic enough without importance sparkle,anger
feel selfish thinking way feel lonely time,anger
feel drained energy,sadness
think day chatted mom amp also feeling horny masturbate,love
feeling pretty stinkin shitty horrible reviewer,sadness
feel helpless,sadness
know started feel weird pressure largely silent audience falsely inflated sense importance expressing ever articulate opinion said audience,surprise
woke nap feel extremely agitated grumpy,fear
love comment feel free post one,happy
feel intimidated great woman family tree,fear
truly feel lot positive thing help condition worker family kid,happy
think may reason would want fly back uae oblivious conflict plague conflict feel helpless resolving,sadness
saw video cena kissing maria surprisingly feel like hated,sadness
feel like rather unkind,anger
feeling submissive,sadness
feel bit obnoxious definately weather,anger
say pressing torso siwons bringing face close enough feel siwons agitated breath,anger
indifferent tell feeling word treasured ever since feeling start bloom one moment want keep,love
feel he casual entire future,happy
still feeling strong missed couple lift,happy
sat couch several hour feeling pretty low,sadness
checked long time ago say happy way back feeling contented everyone everything around,happy
write something big happened like fun trip milestone time write tell feeling sweet baby snuggle growing personality,happy
hate expectation must need man life feel worthwhile valued,happy
feel loving kindness allow u think feel conscious interact various thing body mind,love
feel completely blessed part group,love
type use moisturizer skin oily product designed contain ton moisturizing ingredient make skin feel lovely without oil,love
feeling overwhelmed want physically shake everything way would spider shirt,surprise
say little piece feel agitated watch discussion race style color font family georgia serif font size px line height,fear
feel little frustrated ache longing settled heart weariness life slipped around shoulder like unwelcome friend,anger
even remember trying last year feeling crappy nowhere near closing,sadness
broke uncle radio player accidentally feared going cut going house well playing,fear
feeling conflicted whether follower christ celebrate ever popular pagan originated modern day holiday,happy
feeling impatient took pill,anger
feel carefree weightless yet worried grounded time,happy
feel sincere repentant past opposition civil right,happy
one point put son daycare mom constantly made feel like terrible parent,sadness
thing list feel super guilty relax,happy
feel uncertain motif feel inbalance committment process counselling reconciliation,fear
feel like really valuable,happy
feel like go emotion angry,anger
much training grammar language reading something written like kind feel like assaulted,sadness
feeling insulted everyone comparing sneha,anger
still wake every morning feeling blessed unable believe lucky enough able call amazing family mine life,happy
feel leader country depict people country love god hope one thought way supportive like george w,love
feeling really horny afternoon one fulfill sexual desire bed creative thought help forgetting hands aahhh work like magic,love
know scone must food determined live frugal lifestyle without feeling deprived,sadness
giggle nervously feel threatened,fear
feel horrible helplessness make thing better feel like kill inside,sadness
taking picture house feel far messy post photo online ill clean bit post,sadness
feel hated loathed,sadness
picked feeling little apprehensive,fear
feeling numb,sadness
feeling every bit spiteful vindictive bitch time,anger
got feeling look eye sincere,happy
feel assured mind one,happy
feel unfortunate soundtrack,sadness
believe feel nervous father reassures nothing nervous make nervous,fear
feel uptight day complete he around feel right little nervs dream date thing pursue wedding always dream mine day min,fear
think would come fast would come suppose feel cranky today,anger
feeling going stubborn,anger
feel lonely lost,sadness
would feel empty,sadness
start feel agitated lacking patience right cranky,anger
know easy twist thing create explanation still sure one help feel little le mad,anger
feeling rich yup know blessed,happy
tell want feel afraid,fear
feel though little neglectful fellow blogger,sadness
sort hate glass make eye look small since huge eye going quite upset hoping bigger frame make feel le paranoid,fear
can not believe moment feel useful washing dish,happy
feel distressed music mind rewrite fma op,fear
feeling quite lonely monday half term,sadness
admire athleticism feel like would entertained got watch severely shape people participate olympic event,happy
feel horrible feel horrible made worse fact gotten workout,sadness
would hate bit imagine secretary feeling irritable day eh,anger
feel unhappy,sadness
feel like take time care flower wonderfully loyal hive,love
remember feeling amazed,surprise
know never see place would break heart thick layer moss encased thick muffling sharper feeling pleasant painful,happy
nameless mid bottom law school graduate find marginally attached awash sea overeducated underpaid indentured peer feel duped promise better life debt modern chemistry,happy
know right feel energetic awake patient happy running daily still feel little bad believe breast milk much better baby formula,happy
love discussion class feel passionate feminist issue go write feel though faking,love
would want welcome home end feeling mommyhood threatened inability breastfeed baby,fear
feel agitated result pleasant opposite calm peaceful,anger
feel honored student come class,happy
often tell want attention especially feel horny want good sex hour,love
feel rich blessed joyful,happy
horrible anxiety dream every night last week made feel really paranoid course reading conspiracy theory unsolved crime online hugely help matter,fear
truly feel somehow enough hate get mad,anger
remember feeling uncertain young especially became teenager,fear
feel can not get far enough away feed melancholy long enough would wither die,sadness
want enter defiance coming different culture feel offended allowed,anger
feeling rebellious ate,anger
feel agitated restless edge quite often,anger
feel uncomfortable using word awesome idea actually,fear
feeling rather pleased tonight,happy
feel like lead gentle kind,love
feel like actively hated every single second rather borne,anger
feeling indecisive scare,fear
feel violent tug eye socket,anger
feel carefree nowwwwww,happy
believe displayed deep emotional yearning semblance normality peace since appears dancing arab feel threatened fully armed soldier,fear
left feeling discouraged hopeless,sadness
feel going get messy get fixed back road,sadness
feel frustrated easier day remember blessing research learning trial error hard success patience give far better garden long run,anger
sick cold amp feeling well wondering would even able patience go whitleys month photo shoot,happy
tempted feel little bitter saw,anger
feel kind insecure anyways back doha,fear
grateful longer feel frantic urge fix emotional upset around,fear
feel strange brew,surprise
feel quite strongly student punished due well badly faired compared completely unrelated group people,sadness
care someone emotional spiritual intellectual progress point feel like exert progress important love,happy
actually feel comfortable speaking others japanese feel pretty happy current progress,happy
learned different thing like family plan arrangement even real pain feel loved one pass,love
feel least dating would vain,sadness
like keeping record life written form picture feel like even important baby,happy
feel unhappy miserable wretched glum gloomy forelorn heartbroken,sadness
really feeling horribly irritable little bit depressed,anger
feel confident team right four hour ago,happy
simply said sorry got car got house feeling restless,fear
feeling bit paranoid like really noticable everyone see,fear
feel fabulous birding weekend everyone,happy
bus stop hear squeak baachan trolley feel little paranoid,fear
feeling rushed like planned certain thing summer longer,anger
feel cold breeze,anger
try breathe feel frustrated breathe calm desire,anger
feel language warning pretty benign open suggestion improve,happy
knew thing headed really prepare heartbreak even would feel heart broke danielle military wife go thru losing husband trying protect country,sadness
feel heartless feeling bored believe love anymore,anger
ended shoeless making feel even vulnerable slowing,fear
highly critical dennis covingtons book article must admit say something merit discussion noted closing chapter feeling god dangerous business,anger
refers course though can not help feeling somehow ironically retrospect loudons son kate mcgarrigle rather talented rufus wainwright,happy
feel lonely day birthday,sadness
feel like captured sweet look,happy
envisioned intended feeling unsure whether got vision intention right,fear
feel like need cute picture share,happy
feeling low,sadness
feel really angry sometimes love god enough,anger
hope certain people attend important thing life still come back blogging feel missed blogging,sadness
guess feeling generous today decided offer fabulous deal popular print moment,happy
begin feel unpleasant anime fandom general,sadness
feel tender disoriented,love
feeling really carefree today really carefree,happy
feeling miserable sick hoping amount sleep getting much choice zero energy cold med vitamin lot fluid high hope feel better tomorrow,sadness
feeling cranky horrible,anger
comfortable relationship feel slutty one person amount would single,love
feel troubled ongoing relocation front door,sadness
asked making feel fabulous said healthy family healthy live free country,happy
woke feeling incredibly content amp optimistic today however woke terrible cold complete lack energy,happy
feeling combination terrified relieved,fear
really feel wronged patient,anger
feel gulam ali even talented many classical singer,happy
go guy someone want genuine guy would treat right spend quality time make feel special,happy
think feel passionate favorite workout gear love seeing people love need live without hoping share favorite comment,love
feel strange started sale,surprise
